"";"Value";"Duration";"Start";"End";"mean_x";"mean_y";"POGsdSacAmp";"RMS";"Order";"Trial";"image";"onset_time";"PP";"AGE";"fix";"x";"y";"SIZE";"DFC";"SAL";"SK";"FIX";"NFIX";"FDUR";"FIXO";"second";"di_obj_cen"
"7";"f";362;1703;2064;314.578729281768;258.437284185083;0.240267205223099;0.0337997201849916;1;1;1099;1272;"PP09";11.78;"tas";398.8784527;329.6514145;0.29271875;29.672617891571;0.511665208393513;3;1;11;362;1;FALSE;110.353503455488
"9";"f";554;2109;2662;156.920126353791;99.7976365072201;0.247575772802003;0.0370157500180382;2;1;1099;1272;"PP09";11.78;"bloemen";142.769528;153.5113094;0.0593166666666667;296.017655273708;0.828976646838511;2;1;3;554;2;FALSE;55.5463598213498
"11";"f";504;2683;3186;115.062003968254;71.4029947916666;0.350353623089077;0.0368373123146438;3;1;1099;1272;"PP09";11.78;"bloemen";142.769528;153.5113094;0.0593166666666667;296.017655273708;0.828976646838511;2;1;3;554;2;TRUE;86.6572686841147
"13";"f";346;3275;3620;282.05563583815;210.82911849711;0.191774894502544;0.0347902545967822;4;1;1099;1272;"PP09";11.78;"tas";398.8784527;329.6514145;0.29271875;29.672617891571;0.511665208393513;3;1;11;362;1;TRUE;166.632255481752
"15";"f";172;3647;3818;309.825581395349;201.051507994186;0.143535271460758;0.0346177324177181;5;1;1099;1272;"PP09";11.78;"tas";398.8784527;329.6514145;0.29271875;29.672617891571;0.511665208393513;3;1;11;362;1;FALSE;156.423623027044
"17";"f";160;3823;3982;309.1796875;218.13720703125;0.126989324416242;0.0418180660607517;6;1;1099;1272;"PP09";11.78;"tas";398.8784527;329.6514145;0.29271875;29.672617891571;0.511665208393513;3;1;11;362;1;FALSE;143.112846892891
"19";"f";120;3993;4112;303.947916666667;189.765625;0.164103251671995;0.0485009190701477;7;1;1099;1272;"PP09";11.78;"tas";398.8784527;329.6514145;0.29271875;29.672617891571;0.511665208393513;3;1;11;362;1;FALSE;169.055732749925
"21";"f";608;4197;4804;154.514802631579;102.978515625;0.439222042387531;0.0383508916941171;8;1;1099;1272;"PP09";11.78;"bloemen";142.769528;153.5113094;0.0593166666666667;296.017655273708;0.828976646838511;2;1;3;554;2;FALSE;51.8798103589237
"23";"f";544;4851;5394;314.409466911765;247.685690487132;0.323424652795711;0.0516823746087679;9;1;1099;1272;"PP09";11.78;"tas";398.8784527;329.6514145;0.29271875;29.672617891571;0.511665208393513;3;1;11;362;1;FALSE;117.700422569533
"25";"f";518;5523;6040;419.078185328186;275.806889478765;0.20578775648333;0.0467842485079095;10;1;1099;1272;"PP09";11.78;"tas";398.8784527;329.6514145;0.29271875;29.672617891571;0.511665208393513;3;1;11;362;1;FALSE;57.5087999615069
"28";"f";676;7403;8078;305.003698224852;269.902228180474;0.55889017111821;0.0361303294713116;11;1;1099;1272;"PP09";11.78;"tas";398.8784527;329.6514145;0.29271875;29.672617891571;0.511665208393513;3;1;11;362;1;FALSE;111.276389201011
"30";"f";480;8113;8592;199.6171875;428.57177734375;0.154706670858083;0.0297831960478952;12;1;1099;1272;"PP09";11.78;"tas";398.8784527;329.6514145;0.29271875;29.672617891571;0.511665208393513;3;1;11;362;1;FALSE;222.464131927473
"32";"f";280;8611;8890;264.294642857143;429.341517857143;0.115625887720517;0.0325271950364195;13;1;1099;1272;"PP09";11.78;"tas";398.8784527;329.6514145;0.29271875;29.672617891571;0.511665208393513;3;1;11;362;1;FALSE;167.48408455485
"34";"f";364;8909;9272;209.28228021978;472.536057692307;0.524603411695702;0.0354854308694338;14;1;1099;1272;"PP09";11.78;"tas";398.8784527;329.6514145;0.29271875;29.672617891571;0.511665208393513;3;1;11;362;1;FALSE;237.408361013976
"40";"f";790;1909;2698;349.183544303798;276.394877373418;0.206228169607191;0.035234847155633;1;2;1001;1400;"PP09";11.78;"ontbijtbord";393.8547168;364.1187803;0.177025;64.4125957612711;0.546527210554733;4;1;7;790;1;FALSE;98.4428605682398
"42";"f";2560;2721;5280;400.15966796875;322.757263183594;0.410575029062004;0.0297230857801006;2;2;1001;1400;"PP09";11.78;"ontbijtbord";393.8547168;364.1187803;0.177025;64.4125957612711;0.546527210554733;4;1;7;790;1;TRUE;41.8393057711417
"44";"f";410;5317;5726;377.588414634146;442.774390243903;0.146967090931332;0.0281216657165762;3;2;1001;1400;"PP09";11.78;"ontbijtbord";393.8547168;364.1187803;0.177025;64.4125957612711;0.546527210554733;4;1;7;790;1;FALSE;80.3199698817062
"46";"f";610;5769;6378;388.961065573771;266.540087090164;0.278822282381618;0.0295372595904338;4;2;1001;1400;"PP09";11.78;"ontbijtbord";393.8547168;364.1187803;0.177025;64.4125957612711;0.546527210554733;4;1;7;790;1;FALSE;97.7013264539602
"48";"f";834;6429;7262;359.102218225419;70.9335656474818;0.183727248833138;0.0304826534027789;5;2;1001;1400;"PP09";11.78;"iphone/mobiel";364.8559946;114.2429026;0.0647979166666667;189.052374608109;0.541418496038724;3;1;1;834;5;FALSE;43.6898685032976
